Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",0402,3,2u2,C12530
"C10, C11, C21, C35, C45, C46",0402,6,1u,C52923
"C12, C13, C2, C23, C24, C25, C27, C3, C30, C31, C34, C36, C38, C39, C4, C43, C44, C7, C8, C9",0402,20,100n,C1525
"C14, C16, C18, C20",0402,4,22n,C1532
"C15, C19",0402,2,220n,C16772
C17,0402,1,4n7,C1538
"C22, C26, C28, C29, C32, C33, C37, C40, C41, C42, C47, C48",0603,12,10u,C19702
"D1, D2, D3, D4, D5",0603,5,GRN,C72043
J1,connector_7pins_horizontal,1,Conn_01x07_Pin,C70896
"J2, J3, J4",connector_2pins_horizontal,3,Conn_01x02_Pin,C30436
L1,Inductor_C329578,1,2u2H,C329578
"R1, R12, R13, R2, R3, R30, R36, R37, R38, R39, R40, R41, R42, R7, R8",0402,15,2K 0.1%,C852711
"R10, R11, R20, R34, R4, R5, R6, R9",0402,8,1K,C11702
"R15, R16, R28, R29",0402,4,51K,C25794
"R18, R19, R21, R22",0402,4,47R,C25118
"R23, R24",0402,2,10K,C25744
"R25, R26, R27",0402,3,5K1,C25905
R31,0402,1,360K 1%,C308007
R32,0402,1,100K 1%,C25741
R33,0402,1,464K 1%,C477740
U1,RHB0032E,1,ADS1261BIRHBT,C2669964
U2,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,ESD5344D-TP,C2841840
U3,SOT-23-5,1,TPS7A2050PDBVR,C2864504
U4,SOT-23-5,1,"TPS7A2025PDBVR",C2869949
U6,WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,TPS65135,C57950
U7,TSOT-23-5,1,ADP7182AUJZ-5.0,C514357
U8,TSOT-23-5,1,ADP7182AUJZ-2.5,C462196
U9,SOT-23-3,1,XC6206P332MR,C5446
