Designator,Mid X,Mid Y,Rotation,Layer
C1,16.129,67.7164,270.0,top
C10,5.1054,65.6336,270.0,top
C11,16.092,62.8376,90.0,top
C12,6.1214,65.6082,270.0,top
C13,15.052,62.8176,90.0,top
C14,8.7148,73.4822,180.0,top
C15,7.8486,70.5104,0.0,top
C16,9.2964,70.0532,90.0,top
C17,7.239,65.9638,90.0,top
C18,6.4008,70.0786,270.0,top
C19,10.668,73.4822,0.0,top
C2,38.4556,72.5424,90.0,top
C20,12.6492,73.4822,180.0,top
C21,13.1064,60.833,0.0,top
C22,7.3406,60.7822,270.0,top
C23,-5.9944,51.4096,180.0,top
C24,-5.8876,57.5069,180.0,top
C25,-7.6928,54.0055,90.0,top
C26,-8.9628,54.0309,90.0,top
C27,-7.7154,60.1436,90.0,top
C28,-8.9854,60.1436,90.0,top
C29,3.2562,29.831,180.0,top
C3,28.6512,72.5678,90.0,top
C30,3.2862,31.151,180.0,top
C31,6.3162,33.501,90.0,top
C32,7.6962,33.541,90.0,top
C33,-5.2832,26.8566,90.0,top
C34,-14.5158,51.3334,0.0,top
C35,5.842,63.6296,90.0,top
C36,-16.278,54.0309,90.0,top
C37,-17.548,54.0309,90.0,top
C38,-14.548,57.5274,0.0,top
C39,-16.326,60.1182,90.0,top
C4,40.8178,72.5424,270.0,top
C40,-17.6214,60.1182,90.0,top
C41,-12.1932,27.8766,0.0,top
C42,-11.4204,30.2478,90.0,top
C43,-11.5728,25.7266,0.0,top
C44,6.858,63.627,90.0,top
C45,19.5834,74.8284,90.0,top
C46,1.8288,74.8538,270.0,top
C47,-6.0198,50.165,0.0,top
C48,-14.5158,50.038,0.0,top
C5,17.6022,66.2432,270.0,top
C6,14.6812,69.1896,270.0,top
C7,48.6664,72.5678,90.0,top
C8,50.673,72.5678,270.0,top
C9,30.7848,72.517,270.0,top
D1,-19.5,86.0,270.0,top
D2,-14.5,86.0,90.0,top
D3,-17.0,86.0,270.0,top
D4,-12.0,86.0,90.0,top
D5,-22.0,86.0,270.0,top
J1,10.6934,77.45,0.0,top
J2,29.73,77.45,180.0,top
J3,39.73,77.45,180.0,top
J4,49.73,77.45,180.0,top
L1,-8.4074,30.9118,0.0,top
R1,37.338,74.547,270.0,top
R10,48.6664,74.4982,270.0,top
R11,50.673,74.4982,270.0,top
R12,31.9532,74.4728,90.0,top
R13,6.858,73.0504,90.0,top
R14,6.858,71.5264,180.0,top
R15,11.7602,47.1678,180.0,top
R16,11.7602,48.3616,180.0,top
R17,6.858,74.9946,90.0,top
R18,15.2906,54.7576,90.0,top
R19,16.3574,54.7576,90.0,top
R2,41.9608,74.4982,90.0,top
R20,11.2522,75.0062,270.0,top
R21,14.2238,54.7576,90.0,top
R22,13.1288,54.7634,90.0,top
R23,-19.5,78.52,90.0,top
R24,-14.5,78.51,90.0,top
R25,-17.0,78.51,90.0,top
R26,-12.0,78.51,90.0,top
R27,-22.0,78.51,90.0,top
R28,20.0132,48.2854,180.0,top
R29,20.0152,47.1424,180.0,top
R3,27.5336,74.549,270.0,top
R30,8.8138,71.5264,180.0,top
R31,-6.442,24.355,180.0,top
R32,-8.3978,24.355,180.0,top
R33,-10.3732,24.355,180.0,top
R34,10.1092,75.0062,270.0,top
R35,14.5034,75.0062,90.0,top
R36,14.5034,73.0504,90.0,top
R37,-8.509,41.6668,270.0,top
R4,38.4556,74.5216,270.0,top
R5,40.8178,74.4962,270.0,top
R6,28.69,74.54,270.0,top
R7,47.5742,74.5236,270.0,top
R8,51.7652,74.4982,90.0,top
R9,30.79,74.49,270.0,top
TP1,-5.715,86.0806,0.0,top
TP2,-11.6332,16.8402,0.0,top
TP3,-5.588,36.1442,0.0,top
TP4,-12.1158,36.1696,0.0,top
TP5,-9.1694,49.1236,0.0,top
TP6,-18.1102,49.0982,0.0,top
TP7,-2.54,67.056,0.0,top
TP8,-20.5994,65.9384,0.0,top
TP9,9.7028,40.1066,0.0,top
U1,11.159,64.611797,0.0,top
U2,10.95,9.9375,90.0,top
U3,-5.47,54.0167,90.0,top
U4,-5.4576,60.1269,90.0,top
U6,-8.4132,27.1566,0.0,top
U7,-14.0428,54.0367,270.0,top
U8,-14.0682,60.1269,270.0,top
U9,3.5762,33.5285,0.0,top
