Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6",0603,3,1u,C15849
C3,CP_Elec_5x5.4_JLCPCB,1,100u,C131115
"C5, C7",0603,2,100n,C14663
C8,0603,1,4u7,C19666
D1,D_SOD-123,1,B5819W SL,C8598
D2,0603,1,YELLOW_LED,C72038
D3,0603,1,GREEN LED,C72043
J1,PCIE_98_CARD,1,pcie_98,DNP
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,DNP
"R1, R2, R5, R8",0603,4,5K1,C23186
"R3, R4",0603,2,1K,C21190
R6,0603,1,47K,C25819
R7,0603,1,22K,C31850
R9,0603,1,10K,C25744
SW2,microswitch,1,"D2F-01F-A
",C726013
U1,weact_stm32fh750,1,WeAct_STM32H750_Module,DNP
"U10, U11, U12, U13, U14, U15, U17, U2, U3, U4, U5, U6, U7, U8, U9",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,15,ESD5344D,C2841840
U16,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28R,C964632
