Designator,Mid X,Mid Y,Rotation,Layer
C1,72.6694,-32.8168,270.0,top
C3,56.4896,-32.9184,0.0,top
C4,109.347,18.8214,0.0,top
C5,53.2384,14.4272,180.0,top
C6,49.3474,11.9126,0.0,top
C7,49.3474,13.4366,0.0,top
C8,49.3474,15.0114,180.0,top
D1,59.35,-38.481,270.0,top
D2,49.3474,3.0734,180.0,top
D3,49.3474,6.1976,180.0,top
J2,54.61,22.661,180.0,top
JP1,54.0258,-0.757,270.0,top
R1,58.5216,17.2974,270.0,top
R2,52.5272,17.2466,270.0,top
R3,56.9468,0.5456,270.0,top
R4,58.7756,0.5456,270.0,top
R5,49.3474,10.3886,180.0,top
R6,49.3474,16.5608,180.0,top
R7,49.3474,18.1102,0.0,top
R8,49.3474,1.4986,180.0,top
R9,49.3474,4.6228,180.0,top
SW2,118.5164,19.1954,0.0,top
U1,86.868,-5.334,0.0,top
U10,69.0,-48.5,0.0,top
U11,75.0,-48.5,0.0,top
U12,81.0,-48.5,0.0,top
U13,87.0,-48.5,0.0,top
U14,93.0,-48.5,0.0,top
U15,99.0,-48.5,0.0,top
U16,55.2958,10.3169,180.0,top
U17,55.753,16.764,90.0,top
U2,63.0,-45.0,0.0,top
U3,69.0,-45.0,0.0,top
U4,75.0,-45.0,0.0,top
U5,81.0,-45.0,0.0,top
U6,87.0,-45.0,0.0,top
U7,93.0,-45.0,0.0,top
U8,99.0,-45.0,0.0,top
U9,63.0,-48.5,0.0,top
