Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C17, C18, C19, C20, C23, C24, C27, C28, C3, C35, C37, C4, C7, C8, C9",0402,20,100n,C1525
"C11, C15, C16, C2, C21, C22, C25, C26, C29, C36",0603,10,10u,C19702
"C5, C6",0805,2,2u2,C377773
"D1, D2, D3",0603,3,GRN,C72043
D4,0603,1,YEL,C72038
D5,0603,1,RED,C2286
"J1, J2",JST_VH_2_CHINESE,2,Conn_01x02_Pin,C2845758
R10,0402,1,1K,C11702
"R11, R13, R14, R19, R8",0402,5,0R,C17168
"R12, R6, R9",0402,3,10K,C25744
R2,2512,1,0R025,C252687
"R21, R22, R23, R24",0402,4,1K8,C4109
"R25, R4",0402,2,3K3,C25890
R3,0402,1,100k,C25741
"R5, R7",0402,2,5K1,C25905
U1,TSOT-23-5,1,OPA810IDBVT,C4154868
"U11, U12",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,ESD5344D-TP,C2841840
U13,SOT-23-3,1,XC6206P332MR,C5446
U15,SOT-23-5,1,TPS7A2025PDBVR,C2869949
U2,D050505T-1WR4,1,D050505T-1WR4,C2692185
"U3, U6",MSOP-8_3x3mm_P0.65mm,2,LTC1966,C462623
U5,SOT-23-5,1,TPS72325DBVR,C69932
U8,VSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1541,ISO1541DR
