T[ms],LC1[g]
0,8
2,11
4,16
6,16
8,18
10,10
12,9
14,11
16,13
18,13
20,16
22,12
24,21
26,12
28,12
30,12
32,12
34,7
36,14
38,15
40,15
42,22
44,13
46,7
48,6
50,8
52,8
54,14
56,16
58,21
60,14
62,11
64,10
66,13
68,12
70,4
72,12
74,18
76,18
78,5
80,12
82,14
84,9
86,10
88,11
90,20
92,17
94,8
96,6
98,6
100,16
102,12
104,12
106,15
108,18
110,16
112,10
114,5
116,14
118,13
120,13
122,10
124,23
126,21
128,11
130,9
132,15
134,9
136,12
138,9
140,18
142,21
144,12
146,4
148,10
150,9
152,13
154,12
156,16
158,11
160,15
162,13
164,10
166,9
168,12
170,14
172,15
174,19
176,17
178,11
180,8
182,10
184,9
186,17
188,12
190,20
192,16
194,9
196,8
198,12
200,13
202,10
204,16
206,16
208,20
210,18
212,10
214,6
216,15
218,12
220,13
222,17
224,20
226,17
228,7
230,7
232,9
234,6
236,10
238,13
240,19
242,26
244,16
246,9
248,7
250,13
252,12
254,10
256,19
258,21
260,13
262,7
264,10
266,13
268,13
270,17
272,8
274,20
276,16
278,6
280,8
282,11
284,13
286,9
288,13
290,22
292,17
294,14
296,9
298,3
300,14
302,14
304,10
306,17
308,18
310,13
312,13
314,9
316,14
318,11
320,15
322,19
324,22
326,22
328,16
330,7
332,11
334,11
336,14
338,14
340,19
342,18
344,17
346,7
348,5
350,11
352,9
354,14
356,8
358,15
360,15
362,7
364,8
366,9
368,9
370,12
372,16
374,21
376,14
378,5
380,8
382,8
384,16
386,10
388,15
390,22
392,10
394,9
396,6
398,13
400,8
402,17
404,13
406,20
408,21
410,13
412,11
414,9
416,12
418,12
420,15
422,15
424,21
426,18
428,11
430,4
432,9
434,14
436,13
438,10
440,19
442,22
444,10
446,8
448,14
450,12
452,12
454,12
456,16
458,19
460,14
462,10
464,9
466,11
468,16
470,9
472,11
474,18
476,19
478,12
480,6
482,14
484,12
486,11
488,13
490,24
492,20
494,10
496,7
498,10
500,11
502,12
504,14
506,14
508,20
510,9
512,7
514,3
516,11
518,10
520,13
522,15
524,19
526,16
528,11
530,6
532,6
534,9
536,13
538,11
540,20
542,16
544,11
546,5
548,6
550,12
552,15
554,10
556,19
558,18
560,14
562,10
564,11
566,10
568,11
570,12
572,13
574,20
576,17
578,11
580,14
582,9
584,11
586,11
588,11
590,18
592,20
594,13
596,5
598,10
600,9
602,15
604,12
606,18
608,18
610,16
612,10
614,9
616,16
618,14
620,13
622,16
624,21
626,17
628,12
630,5
632,11
634,12
636,13
638,10
640,16
642,18
644,16
646,5
648,6
650,9
652,9
654,15
656,15
658,20
660,15
662,8
664,9
666,16
668,15
670,8
672,12
674,16
676,18
678,12
680,7
682,14
684,10
686,15
688,17
690,20
692,23
694,16
696,5
698,10
700,13
702,12
704,10
706,19
708,22
710,12
712,13
714,12
716,12
718,13
720,12
722,13
724,17
726,17
728,9
730,8
732,6
734,13
736,14
738,14
740,16
742,19
744,13
746,5
748,11
750,13
752,11
754,11
756,17
758,19
760,14
762,9
764,7
766,12
768,8
770,13
772,17
774,23
776,17
778,14
780,5
782,7
784,13
786,16
788,14
790,23
792,17
794,15
796,4
798,15
800,12
802,17
804,17
806,16
808,16
810,17
812,13
814,7
816,13
818,11
820,16
822,8
824,18
826,24
828,13
830,8
832,11
834,12
836,15
838,11
840,17
842,18
844,10
846,4
848,13
850,11
852,14
854,14
856,18
858,15
860,12
862,4
864,8
866,17
868,13
870,12
872,11
874,18
876,21
878,17
880,3
882,9
884,6
886,16
888,15
890,15
892,18
894,14
896,10
898,6
900,14
902,17
904,9
906,17
908,22
910,16
912,10
914,12
916,10
918,16
920,16
922,8
924,18
926,18
928,12
930,8
932,7
934,13
936,11
938,13
940,19
942,19
944,7
946,10
948,5
950,11
952,9
954,15
956,15
958,22
960,15
962,12
964,6
966,14
968,14
970,16
972,14
974,17
976,18
978,12
980,6
982,11
984,9
986,8
988,20
990,15
992,19
994,14
996,7
998,5
1000,18
1002,14
1004,13
1006,14
1008,22
1010,17
1012,4
1014,5
1016,8
1018,10
1020,13
1022,7
1024,18
1026,18
1028,11
1030,8
1032,11
1034,9
1036,15
1038,12
1040,17
1042,18
1044,13
1046,12
1048,9
1050,9
1052,15
1054,15
1056,17
1058,20
1060,12
1062,11
1064,13
1066,9
1068,18
1070,13
