Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C16, C5",0603,5,10u,C96446
"C10, C11, C14, C15, C17, C2, C6, C7, C8, C9",0603,10,100n,C14663
"C3, C4",0603,2,1u,C15849
"D1, D2",0603,2,GRN,C72043
"J1, J2",connector_4pins_horizontal,2,Conn_01x04_Pin,C31753
"R1, R13, R14, R2",0603,4,0R,C21189
"R10, R7, R8, R9",0603,4,1K,C21190
"R15, R16",0603,2,5K1,C23186
"R4, R5",0603,2,24K,C23352
"TP1, TP2, TP3, TP4, TP5, TP6",Test_Pad,6,TestPoint,DNP
U1,Converter_DCDC,1,B0505MT-1WR4,C919693
"U2, U3, U8",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,ESD5344D-TP,C2841840
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,ADUM1201ARZ-RL7,C9669
"U6, U7",SOT-89-3,2,XC6206P332MR,C14289
