Designator,Mid X,Mid Y,Rotation,Layer
C1,-9.017,15.621,180.0,top
C10,31.3944,61.7474,180.0,top
C11,9.8552,61.7474,180.0,top
C12,-8.8911,41.9862,0.0,top
C13,10.9728,30.9372,180.0,top
C14,10.9728,29.2862,180.0,top
C15,10.9474,39.8526,0.0,top
C16,10.9474,38.1254,0.0,top
C17,-8.89,32.9692,180.0,top
C2,-9.017,17.2466,180.0,top
C3,31.4706,68.5546,180.0,top
C4,9.906,68.453,180.0,top
C5,-8.89,29.718,180.0,top
C6,31.4706,66.7766,180.0,top
C7,9.906,66.7512,180.0,top
C8,-8.89,31.3436,180.0,top
C9,-8.89,40.3606,0.0,top
D1,-9.398,87.249,0.0,top
D2,-16.8403,87.2978,0.0,top
J1,26.7716,77.207,0.0,top
J2,5.1562,77.207,0.0,top
R1,25.0444,73.6092,90.0,top
R10,5.1308,73.6346,270.0,top
R11,0.0,52.9082,270.0,top
R12,-7.0358,52.9082,270.0,top
R13,1.8542,52.9082,270.0,top
R14,-5.1816,52.9082,270.0,top
R15,-9.3726,77.724,90.0,top
R16,-16.8656,77.724,90.0,top
R2,3.429,73.6346,90.0,top
R3,30.1244,73.6092,270.0,top
R4,8.5852,73.6492,270.0,top
R5,23.3426,73.6092,270.0,top
R6,1.7145,73.66,270.0,top
R7,28.448,73.6092,270.0,top
R8,26.7462,73.6092,270.0,top
R9,6.858,73.6492,270.0,top
TP1,-15.748,30.0228,0.0,top
TP2,-15.7226,43.7642,0.0,top
TP3,-15.836,17.4752,0.0,top
TP4,5.2578,43.7134,0.0,top
TP5,-1.8288,17.4752,0.0,top
TP6,-1.8034,29.9974,0.0,top
U1,-9.017,23.4442,90.0,top
U2,26.797,70.1802,270.0,top
U3,5.1308,70.1548,270.0,top
U4,26.7716,64.7192,180.0,top
U5,5.1816,64.6938,180.0,top
U6,-8.636,36.6268,180.0,top
U7,11.303,34.4932,180.0,top
U8,11.9718,9.9648,90.0,top
