Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_5x5.4,1,100uf 10V,C96182
C3,C_Elec_8x10.2,1,100uf 50V,C250948
D1,0603,1,LED YELLOW,C72038
"D2, D6",D_SOD-123,2,B5819W SL,C8598
D5,0603,1,LED GREEN,C72043
"F1, F2",1206,2,1.25A,C21190
F3,1206,1,2A,C99538
J1,PCIE_98_CARD,1,pcie_98,DNP
J2,PinSocket_1x05_P2.54mm_Horizontal_JLCPCB,1,Conn_01x05_Socket,C2935995
R1,0603,1,3K9,C23018
"R2, R3, R5, R6",0603,4,1K,C21190
R4,0603,1,15K,C22809
U1,DCDC,1,URB2405YMD-10WR3,C91825
U2,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,ESD5344D,C2841840
