Designator,Mid X,Mid Y,Rotation,Layer
C1,76.2,-43.6118,0.0,top
C3,105.8164,-24.892,90.0,top
D1,52.2478,27.1272,180.0,top
D2,105.8418,-38.3794,270.0,top
D5,58.5724,27.305,180.0,top
D6,108.6612,-33.6804,0.0,top
F1,105.8926,-44.8818,90.0,top
F2,111.4298,-44.8564,90.0,top
F3,68.9356,-43.6118,180.0,top
J2,72.3084,18.1552,0.0,top
R1,58.547,18.7198,180.0,top
R2,67.1576,10.6426,270.0,top
R3,69.85,10.6426,270.0,top
R4,52.2976,18.7452,0.0,top
R5,74.8792,10.6426,270.0,top
R6,77.4446,10.7188,270.0,top
U1,84.0,-25.0,0.0,top
U2,62.5776,-49.4849,90.0,top
